OBJECTID,Point of Origin Jurisdictional Unit Identifier,Point of Origin Protecting Unit Identifier,Reported Unit Identifier,Fire Incident Number,Fire Code,Incident Name,Fire Discovered Calendar Year,Fire Discovered Date,Fire Discovered Date Estimated Flag,Fire Control Date,Fire Control Date Estimated Flag,Incident General Cause Name,Collection Method,Total Reported Acres,GIS Acres,Complex Name,Irwin Identifier,Wildland Fire Perimeter Comments,Administrative Unit Code,Administrative State Code,GlobalID,Created Date,Created By Name,Modified Date,Modify By Name,created_user,created_date,last_edited_user,last_edited_date,Original_GlobalID,Unique Fire Identifier,Shape__Area,Shape__Length
181091,USCANOD,USCANOD,USCANOD,3289,K2G6,Shaffer,2017,6/19/2017 12:00:00 AM,NO,6/23/2017 12:00:00 AM,NO,Natural,Mixed Methods,59,59.03858107,,,,CAN05000,CA,acc7dc46-8faa-4b6a-b008-61ad9437a9e3,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{184A491A-7A9D-4DF3-B284-B31C4F7A2F0C},2017-CANOD-003289,2.5341998480144E-05,0.0269099843225167
181095,USCAPRI,USCALAC,USCACDD,13098,LAX8,Sierra,2017,8/27/2017 12:00:00 AM,NO,8/28/2017 12:00:00 AM,NO,Human,Mixed Methods,35,36.31869154,,,,CAD06000,CA,1669cb8c-b47f-418e-a91b-bd3e5caba27e,1/29/2018 10:19:19 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{770658D2-2F8A-431F-95F5-96232B2ED789},2017-CACDD-013098,1.44279167670902E-05,0.0221045873527551
181098,USCANOD,USCANOD,USCANOD,4182,K7YV,R-13 Dry,2017,7/24/2017 12:00:00 AM,NO,7/27/2017 12:00:00 AM,NO,Natural,Mixed Methods,325,325.45809309,,,,CAN05000,CA,78c56cea-2c41-44d9-9fa2-abcd5685597f,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{5F41FEC7-5856-4689-A521-21EC9AD12D99},2017-CANOD-004182,0.000139591805236705,0.0649587864211195
181101,USCANOD,USCANOD,USCANOD,4172,K7YU,R-9 Shinn,2017,7/24/2017 12:00:00 AM,NO,7/27/2017 12:00:00 AM,NO,Natural,Mixed Methods,278.5,278.12717896,,,,CAN05000,CA,750f9686-9f6f-4d08-ac02-d05933cc3d21,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{2FB5DF5C-F056-46C4-90F5-3E75CE4D1595},2017-CANOD-004172,0.00011987034122285,0.0678673007322866
181102,USCANOD,USCANOD,USCANOD,4973,K95K,R-3 Mud,2017,8/22/2017 12:00:00 AM,NO,8/26/2017 12:00:00 AM,NO,Natural,Mixed Methods,99,99.57323517,,,,CAN05000,CA,ae786f5b-f73a-457f-9546-192ad69bc0c8,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{D5EDB111-E060-41B7-80AD-0FB6E17845F2},2017-CANOD-004973,4.28409698542964E-05,0.0448346184929977
181104,USCANOD,USCANOD,USCANOD,4279,K76H,R-21 Chimney,2017,7/26/2017 12:00:00 AM,NO,7/30/2017 12:00:00 AM,NO,Natural,Mixed Methods,589,588.2668149,,,,CAN05000,CA,6632b39a-4254-4444-abe6-d7ab9bfc5756,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{68FDE0DC-D6BF-4339-9ACE-3E41C1C05507},2017-CANOD-004279,0.000253504303600494,0.0777343405923532
181106,USCACND,USCACND,USCACND,1916,K78L,Alpaugh,2017,7/26/2017 12:00:00 AM,NO,7/26/2017 12:00:00 AM,NO,Undetermined,Mixed Methods,78.2,78.09430434,,,,CAC06000,CA,b2791723-d53d-4f44-a09d-ea8f2cdebe04,1/29/2018 10:19:20 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{E5A27EE9-60D9-4287-BB1A-4F64BD4B0B2B},2017-CACND-001916,3.15202710226004E-05,0.0244022515174817
181107,USCAPRI,USCACDD,USCACDD,5970,KZL5,Backus,2017,4/16/2017 12:00:00 AM,NO,4/16/2017 12:00:00 AM,NO,Unknown,Mixed Methods,110,77.83057639,,,,CAD05000,CA,67c76669-3fc2-4e5b-9fa9-8984ccad439c,1/29/2018 10:19:20 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{A8423FF0-F0CE-4065-9BF7-17A731365FA1},2017-CACDD-005970,3.1089394724404E-05,0.043553358232638
181109,USCAPRI,USCACDD,USCACDD,13827,LCQ6,Tecopa,2017,9/11/2017 12:00:00 AM,NO,9/14/2017 12:00:00 AM,NO,Natural,GPS-Walked/Driven,30.1,26.99326843,,,,CAD08000,CA,91b3448a-e45b-4ea6-bad6-5ff526992c36,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:26:39 AM,swiberg,,,,,{670AE04A-854A-4BBF-A6AF-9382FA4B75C1},2017-CACDD-013827,1.0902724625339E-05,0.0331574161698168
181111,USCAPRI,USCACDD,USCACDD,10474,K4S4,Christmas,2017,7/7/2017 12:00:00 AM,NO,7/7/2017 12:00:00 AM,NO,Undetermined,Mixed Methods,33.5,33.55231992,,,,CAD06000,CA,0b8be8db-c132-4729-88c8-742de00a326d,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{D32C3404-D73D-46B6-89D2-C9639DA4F957},2017-CACDD-010474,1.32132790895412E-05,0.0147857694334503
181112,USCACND,USCACND,USCACND,1204,K2GF,Hills,2017,6/17/2017 12:00:00 AM,NO,6/17/2017 12:00:00 AM,NO,Human,Mixed Methods,16,60.31310237,,,,CAC09000,CA,6fcb3682-36ab-4b02-9f22-f3f389693a42,1/29/2018 10:19:19 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{6C9C0938-EBD1-4C08-83B9-BC47090739A6},2017-CACND-001204,2.46227587012982E-05,0.0394801654795636
181115,USCACDD,USCACDD,USCACDD,7605,K0U4,Gate,2017,5/20/2017 12:00:00 AM,NO,5/23/2017 12:00:00 AM,NO,Human,Mixed Methods,1952.1,1952.13552819,,,,CAD06000,CA,35119945-8731-45c4-88b9-bf29d80bef1c,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{7F0E5A7E-D38F-4CE7-A674-A794AADC8292},2017-CACDD-007605,0.000759327320338343,0.13353258569107
181116,USCANOD,USCANOD,USCANOD,5155,LA5B,Lone,2017,8/29/2017 12:00:00 AM,NO,8/30/2017 12:00:00 AM,NO,Natural,Mixed Methods,214.8,214.66329068,,,,CAN05000,CA,a71aa8cb-f44d-4e88-bc9c-e4d13d3344e7,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{A2A0C120-0A57-4B89-9F85-5B621B7917AE},2017-CANOD-005155,9.25493354770879E-05,0.045398905323214
181117,USCACDD,USCACDD,USCACDD,8462,K1DR,Fairview,2017,6/1/2017 12:00:00 AM,NO,6/1/2017 12:00:00 AM,NO,Undetermined,GPS-Walked/Driven,26,25.65849615,,,,CAD06000,CA,dea9c488-8ff8-4bef-9e18-f59592568438,1/29/2018 10:19:19 AM,jnewman,5/25/2018 9:26:49 AM,swiberg,,,,,{01A8D65F-CC3B-452E-9AC5-04839DA00D08},2017-CACDD-008462,1.0129835573025E-05,0.0157040707833908
181118,USCANOD,USCANOD,USCANOD,5181,LA5J,R-5 Spanish,2017,8/29/2017 12:00:00 AM,NO,8/31/2017 12:00:00 AM,NO,Natural,Mixed Methods,167,166.85794003,,,,CAN05000,CA,3563f3c0-445e-4f19-9f97-2a599d3e87f7,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{2CFB3E66-8F64-4237-AD57-C191BC5FD580},2017-CANOD-005181,7.20277280379378E-05,0.0338476609999579
